,total_bill,tip,sex,smoker,day,time,size,isFemale,isSmoker,dow,isDinner,PercentageTip,Is15tip
0,16.99,1.01,Female,No,Sun,Dinner,2,1,0,6,1,6%,0
1,10.34,1.66,Male,No,Sun,Dinner,3,0,0,6,1,16%,1
2,21.01,3.5,Male,No,Sun,Dinner,3,0,0,6,1,17%,1
3,23.68,3.31,Male,No,Sun,Dinner,2,0,0,6,1,14%,0
4,24.59,3.61,Female,No,Sun,Dinner,4,1,0,6,1,15%,0
5,25.29,4.71,Male,No,Sun,Dinner,4,0,0,6,1,19%,1
6,8.77,2,Male,No,Sun,Dinner,2,0,0,6,1,23%,1
7,26.88,3.12,Male,No,Sun,Dinner,4,0,0,6,1,12%,0
8,15.04,1.96,Male,No,Sun,Dinner,2,0,0,6,1,13%,0
9,14.78,3.23,Male,No,Sun,Dinner,2,0,0,6,1,22%,1
10,10.27,1.71,Male,No,Sun,Dinner,2,0,0,6,1,17%,1
11,35.26,5,Female,No,Sun,Dinner,4,1,0,6,1,14%,0
12,15.42,1.57,Male,No,Sun,Dinner,2,0,0,6,1,10%,0
13,18.43,3,Male,No,Sun,Dinner,4,0,0,6,1,16%,1
14,14.83,3.02,Female,No,Sun,Dinner,2,1,0,6,1,20%,1
15,21.58,3.92,Male,No,Sun,Dinner,2,0,0,6,1,18%,1
16,10.33,1.67,Female,No,Sun,Dinner,3,1,0,6,1,16%,1
17,16.29,3.71,Male,No,Sun,Dinner,3,0,0,6,1,23%,1
18,16.97,3.5,Female,No,Sun,Dinner,3,1,0,6,1,21%,1
19,20.65,3.35,Male,No,Sat,Dinner,3,0,0,5,1,16%,1
20,17.92,4.08,Male,No,Sat,Dinner,2,0,0,5,1,23%,1
21,20.29,2.75,Female,No,Sat,Dinner,2,1,0,5,1,14%,0
22,15.77,2.23,Female,No,Sat,Dinner,2,1,0,5,1,14%,0
23,39.42,7.58,Male,No,Sat,Dinner,4,0,0,5,1,19%,1
24,19.82,3.18,Male,No,Sat,Dinner,2,0,0,5,1,16%,1
25,17.81,2.34,Male,No,Sat,Dinner,4,0,0,5,1,13%,0
26,13.37,2,Male,No,Sat,Dinner,2,0,0,5,1,15%,0
27,12.69,2,Male,No,Sat,Dinner,2,0,0,5,1,16%,1
28,21.7,4.3,Male,No,Sat,Dinner,2,0,0,5,1,20%,1
29,19.65,3,Female,No,Sat,Dinner,2,1,0,5,1,15%,1
30,9.55,1.45,Male,No,Sat,Dinner,2,0,0,5,1,15%,1
31,18.35,2.5,Male,No,Sat,Dinner,4,0,0,5,1,14%,0
32,15.06,3,Female,No,Sat,Dinner,2,1,0,5,1,20%,1
33,20.69,2.45,Female,No,Sat,Dinner,4,1,0,5,1,12%,0
34,17.78,3.27,Male,No,Sat,Dinner,2,0,0,5,1,18%,1
35,24.06,3.6,Male,No,Sat,Dinner,3,0,0,5,1,15%,0
36,16.31,2,Male,No,Sat,Dinner,3,0,0,5,1,12%,0
37,16.93,3.07,Female,No,Sat,Dinner,3,1,0,5,1,18%,1
38,18.69,2.31,Male,No,Sat,Dinner,3,0,0,5,1,12%,0
39,31.27,5,Male,No,Sat,Dinner,3,0,0,5,1,16%,1
40,16.04,2.24,Male,No,Sat,Dinner,3,0,0,5,1,14%,0
41,17.46,2.54,Male,No,Sun,Dinner,2,0,0,6,1,15%,0
42,13.94,3.06,Male,No,Sun,Dinner,2,0,0,6,1,22%,1
43,9.68,1.32,Male,No,Sun,Dinner,2,0,0,6,1,14%,0
44,30.4,5.6,Male,No,Sun,Dinner,4,0,0,6,1,18%,1
45,18.29,3,Male,No,Sun,Dinner,2,0,0,6,1,16%,1
46,22.23,5,Male,No,Sun,Dinner,2,0,0,6,1,22%,1
47,32.4,6,Male,No,Sun,Dinner,4,0,0,6,1,19%,1
48,28.55,2.05,Male,No,Sun,Dinner,3,0,0,6,1,7%,0
49,18.04,3,Male,No,Sun,Dinner,2,0,0,6,1,17%,1
50,12.54,2.5,Male,No,Sun,Dinner,2,0,0,6,1,20%,1
51,10.29,2.6,Female,No,Sun,Dinner,2,1,0,6,1,25%,1
52,34.81,5.2,Female,No,Sun,Dinner,4,1,0,6,1,15%,0
53,9.94,1.56,Male,No,Sun,Dinner,2,0,0,6,1,16%,1
